sec	CH1	CH2	CH40	CH41	
6.3205	0.0244141	-0.0146484	177.515	0.338	
6.321	0.0244141	-0.0146484	177.515	0.338	
6.3215	0.0219727	-0.0146484	177.515	0.338	
6.322	0.0219727	-0.0146484	177.515	0.338	
6.3225	0.0219727	-0.0146484	177.515	0.338	
6.323	0.0219727	-0.0146484	177.515	0.338	
6.3235	0.0244141	-0.0146484	177.515	0.338	
6.324	0.0268555	-0.0195313	177.515	0.338	
6.3245	0.0292969	-0.0195313	177.515	0.338	
6.325	0.0317383	-0.0195313	177.515	0.338	
6.3255	0.0341797	-0.0195313	177.515	0.338	
6.326	0.0366211	-0.0195313	177.515	0.338	
6.3265	0.0390625	-0.0195313	177.515	0.338	
6.327	0.0415039	-0.0195313	177.515	0.338	
6.3275	0.0439453	-0.0195313	177.515	0.338	
6.328	0.0463867	-0.0195313	177.515	0.338	
6.3285	0.0463867	-0.0195313	177.515	0.338	
6.329	0.0488281	-0.0195313	177.515	0.338	
6.3295	0.0488281	-0.0195313	177.515	0.338	
6.33	0.0488281	-0.0195313	177.515	0.338	
6.3305	0.0488281	-0.0195313	177.515	0.338	
6.331	0.0488281	-0.0195313	177.515	0.338	
6.3315	0.0488281	-0.0195313	177.515	0.338	
6.332	0.0488281	-0.0195313	177.515	0.338	
6.3325	0.0488281	-0.0195313	177.515	0.338	
6.333	0.0488281	-0.0195313	177.515	0.338	
6.3335	0.0488281	-0.0195313	177.515	0.338	
6.334	0.0488281	-0.0195313	177.515	0.338	
6.3345	0.0488281	-0.0195313	177.515	0.338	
6.335	0.0488281	-0.0195313	177.515	0.338	
6.3355	0.0488281	-0.0195313	177.515	0.338	
6.336	0.0488281	-0.0195313	177.515	0.338	
6.3365	0.0488281	-0.0195313	177.515	0.338	
6.337	0.0463867	-0.0195313	177.515	0.338	
6.3375	0.0463867	-0.0195313	177.515	0.338	
6.338	0.0463867	-0.0195313	177.515	0.338	
6.3385	0.0439453	-0.0195313	177.515	0.338	
6.339	0.0439453	-0.0195313	177.515	0.338	
